skin_L skin_A skin_B eye_r eye_g eye_b eye_L eye_A eye_B hair_L hair_A hair_B hair_r1 hair_g1 hair_b1 hair_r2 hair_g2 hair_b2 hair_r3 hair_g3 hair_b3
174.974319 125.339476 110.918871 62 47 43 60.861111 130.222222 116.916667 129.075700 129.075700 131.182245 47 43 39 17 9 6 77 73 69 
175.559274 127.331923 109.878298 70 51 47 52.372549 131.549020 115.764706 129.390840 129.390840 127.003031 40 36 36 70 66 66 111 108 108 
162.513137 128.526988 109.411374 39 35 39 37.675000 129.937500 126.075000 128.053474 128.053474 130.635818 35 32 24 69 65 58 102 99 91 
176.466552 126.413404 108.656202 49 38 41 38.791667 132.236111 121.819444 130.616790 130.616790 131.152672 34 26 22 64 56 52 98 94 86 
173.520636 127.893969 111.919884 52 41 41 40.986111 130.805556 122.361111 128.594533 128.594533 128.131977 38 34 30 68 64 60 101 101 94 
167.467042 126.457580 111.529707 69 46 42 52.416667 131.027778 115.638889 128.467905 128.467905 130.336137 34 30 27 65 61 57 95 95 88 
179.127802 129.032553 110.920832 42 30 30 32.611111 130.925926 119.481481 128.598701 128.598701 130.252213 15 11 8 46 42 38 76 72 69 
145.960726 129.438782 105.096707 64 49 49 48.250000 131.684211 118.065789 129.439940 129.439940 130.939704 17 11 0 49 45 41 79 75 71 
140.363039 129.175903 107.391014 64 49 41 49.666667 129.902778 117.902778 129.164481 129.164481 126.760488 38 34 30 68 64 60 98 94 90 
149.321947 127.458606 109.292209 41 38 41 37.763889 131.569444 126.361111 128.510439 128.510439 124.708729 38 38 41 68 71 79 101 109 116 
144.598092 129.272057 105.388470 38 34 38 35.315789 130.565789 126.197368 128.342433 128.342433 131.612985 34 30 26 64 60 56 94 94 86 
159.687049 128.729541 107.850943 52 36 36 42.687500 131.729167 118.187500 128.827569 128.827569 127.122725 36 33 29 67 63 59 98 98 90 
162.222431 128.559997 109.649681 53 43 43 122.652632 131.021053 121.589474 128.717455 128.717455 126.715916 36 32 28 66 62 59 96 104 111 
181.689332 128.157016 112.807567 42 38 38 43.176471 128.882353 124.882353 126.411662 126.411662 131.215491 35 35 27 65 73 73 96 104 111 
181.615999 126.994785 113.490539 54 42 42 42.458333 131.437500 119.875000 128.662756 128.662756 129.203076 42 38 35 73 73 69 107 107 104 
